mouth0x,mouth0y,mouth1x,mouth1y,mouth2x,mouth2y,mouth3x,mouth3y,mouth4x,mouth4y,mouth5x,mouth5y,mouth6x,mouth6y,mouth7x,mouth7y,mouth8x,mouth8y,mouth9x,mouth9y,mouth10x,mouth10y,mouth11x,mouth11y,mouth12x,mouth12y,mouth13x,mouth13y,mouth14x,mouth14y,mouth15x,mouth15y,mouth16x,mouth16y,mouth17x,mouth17y,mouth18x,mouth18y,mouth19x,mouth19y,happiness
392,736,432,712,472,704,504,712,544,704,584,712,624,736,584,776,544,800,504,808,464,800,424,784,408,736,472,728,504,728,544,728,608,736,544,760,504,768,464,760,1
432,768,448,736,464,728,488,728,512,728,552,744,600,768,552,800,512,808,488,816,472,808,448,792,448,768,472,760,488,760,512,760,584,768,512,768,488,768,472,768,0
392,720,424,696,456,688,488,696,520,688,568,696,616,720,568,760,528,784,488,784,456,776,424,760,408,720,456,712,488,712,520,712,600,720,528,744,488,744,456,736,1
416,760,416,744,440,736,456,744,488,736,544,752,600,768,552,800,496,824,464,824,440,816,424,800,432,760,440,768,464,768,496,768,584,768,496,776,464,776,440,768,0
392,728,440,712,480,704,512,704,544,704,576,712,616,728,584,776,544,792,512,800,472,792,432,776,408,728,480,728,512,728,544,728,600,736,544,760,512,760,480,760,1
392,736,432,712,472,704,504,704,536,704,576,712,624,736,584,776,536,800,504,800,472,792,432,768,408,736,472,728,504,728,536,728,608,736,536,752,504,760,472,752,1
416,752,456,712,504,688,528,696,552,696,584,712,616,752,584,784,560,800,528,800,496,792,456,776,432,744,504,720,528,720,552,728,600,752,552,760,528,760,504,752,0
400,736,448,728,480,720,512,728,536,720,576,728,616,736,576,768,544,792,512,792,480,784,448,768,424,744,480,752,512,752,536,752,600,744,544,744,512,752,480,744,1
400,736,448,720,496,712,528,712,552,712,584,720,616,736,584,768,552,776,528,784,496,776,448,768,416,736,496,736,528,744,552,736,600,736,552,736,528,744,496,736,1
392,752,424,736,456,728,488,736,520,728,568,736,616,744,568,784,520,808,488,808,456,800,424,784,408,752,456,760,488,760,520,760,600,752,520,760,488,760,456,760,0
408,720,440,712,472,712,496,720,520,712,560,720,608,736,560,760,528,776,496,776,472,776,440,752,424,728,472,736,496,736,520,736,592,736,520,736,496,744,472,736,1
408,736,456,720,496,712,520,720,544,712,576,720,608,736,576,776,544,792,520,792,496,792,456,776,432,744,496,744,520,744,544,744,592,744,544,744,520,752,496,744,0
408,736,440,712,480,704,512,712,536,704,576,712,616,744,584,776,544,792,512,792,480,792,440,768,424,744,480,736,512,744,536,744,600,744,536,744,512,744,480,744,0
392,752,448,736,496,728,528,736,552,728,584,736,616,752,584,800,560,816,528,824,488,824,440,800,408,760,496,760,528,760,552,760,600,760,552,776,528,784,496,776,1
408,760,448,720,488,704,520,712,552,704,584,720,616,760,584,800,552,824,520,824,488,816,440,800,416,760,488,736,520,736,552,736,608,760,552,776,520,784,488,776,1
408,728,440,712,472,704,504,704,528,696,568,712,608,728,576,776,536,792,504,792,472,792,440,776,424,736,472,736,504,736,528,728,592,736,528,744,504,744,472,744,0
392,712,432,688,472,680,504,688,544,680,584,688,632,712,592,768,544,800,504,800,464,800,424,768,408,712,472,712,504,712,544,712,616,720,536,752,504,760,464,752,1
408,760,440,736,472,720,504,736,528,720,568,736,608,760,568,784,536,792,504,800,472,800,440,784,416,760,472,752,504,760,528,752,592,760,528,752,504,760,472,760,0
408,736,448,712,488,704,520,704,544,704,576,720,608,744,576,784,544,808,512,816,488,808,448,784,432,744,488,728,520,728,544,728,592,744,544,768,512,776,488,768,1
416,768,424,736,448,720,464,728,488,720,536,736,592,760,544,792,496,808,472,808,448,808,432,792,424,768,448,760,472,760,496,760,568,760,496,760,472,768,448,760,0
384,728,432,704,480,696,512,704,544,696,584,704,624,728,592,784,544,800,512,808,472,800,424,776,400,736,480,720,512,720,544,720,608,736,544,760,512,768,472,760,1
416,760,464,752,504,744,536,752,560,744,592,752,616,752,592,792,568,808,536,808,504,808,464,792,432,768,504,768,536,776,560,768,600,760,560,768,536,776,512,768,0
408,752,440,720,488,696,520,704,552,696,584,712,616,744,592,792,552,816,520,824,488,824,440,800,424,752,488,736,520,736,552,736,600,752,552,760,520,768,488,760,0
384,736,432,712,480,704,512,712,544,704,584,712,624,736,592,792,544,816,512,824,472,816,424,792,400,744,480,728,512,736,544,728,608,744,544,776,512,784,472,776,1
400,744,440,728,480,720,512,728,544,720,584,728,616,744,584,776,552,784,520,792,480,784,440,768,416,744,480,744,512,752,544,744,600,752,552,752,512,752,480,752,0
408,744,440,720,472,704,496,712,520,704,568,720,616,744,568,784,528,800,496,800,472,800,440,784,432,744,472,744,496,744,520,744,600,744,528,752,504,752,472,744,0
416,760,464,728,504,712,536,720,560,712,584,728,616,760,584,792,560,808,528,808,504,800,464,784,440,760,504,744,528,744,560,744,592,760,560,760,528,768,504,760,0
424,736,448,704,472,688,496,688,512,688,544,704,592,736,552,760,520,768,496,768,472,768,448,760,440,736,472,720,496,720,512,720,568,736,512,728,496,728,472,728,0
400,752,440,728,472,720,504,728,536,720,576,728,616,744,576,792,536,808,512,808,480,808,440,792,424,752,472,752,504,752,536,752,592,752,536,760,512,768,480,760,0
408,744,448,720,480,712,512,720,536,712,576,720,608,744,576,776,544,784,512,792,480,784,448,768,432,752,480,744,512,744,536,744,592,752,544,744,512,752,480,744,0
416,752,448,728,480,712,512,720,536,712,568,728,608,752,568,768,536,784,504,784,480,776,448,768,424,744,480,744,512,744,536,744,592,752,536,744,512,752,480,744,0
384,720,432,704,480,696,512,696,544,688,584,696,632,712,592,784,552,808,512,808,480,808,432,776,408,728,480,720,512,720,544,720,608,720,544,760,512,768,480,760,1
400,744,432,728,464,720,496,728,528,720,576,728,616,744,576,776,536,800,504,808,472,800,432,784,416,744,464,744,504,752,536,744,600,744,536,760,504,760,472,760,1
400,760,448,736,488,728,520,736,552,728,584,736,608,760,584,792,552,808,520,816,488,808,448,792,416,760,488,760,520,760,552,760,592,760,552,760,520,768,488,760,0
384,720,416,688,464,672,496,672,528,664,584,680,632,720,584,776,536,800,496,800,464,800,416,776,400,720,464,696,496,704,528,696,608,720,536,752,496,760,464,752,1
408,744,440,712,480,704,504,712,536,704,576,712,616,744,576,776,536,792,504,792,472,784,440,768,424,744,480,736,504,744,536,736,592,744,536,736,504,744,480,736,0
408,728,440,712,464,704,496,712,520,712,568,720,624,736,576,784,528,800,496,800,464,800,440,776,432,736,464,736,496,744,520,744,608,744,528,760,496,760,472,752,0
384,728,424,720,464,712,496,720,528,712,584,720,640,736,584,800,536,816,496,824,464,816,424,792,400,736,464,736,496,744,528,744,624,744,536,776,496,784,464,776,1
384,728,424,696,464,680,504,688,536,680,584,696,624,720,584,776,544,792,504,800,464,792,424,776,400,728,464,712,504,712,536,712,608,720,536,744,504,752,464,744,1
400,736,448,712,488,704,520,712,552,704,584,712,624,736,584,760,552,776,520,776,488,776,448,760,416,736,488,736,520,736,552,736,608,736,552,728,520,736,488,728,0
392,720,432,696,480,688,512,696,544,688,584,696,624,728,584,776,544,800,512,800,480,800,432,776,408,720,480,712,512,712,544,712,608,728,544,760,512,768,480,760,1
400,736,456,728,504,720,528,720,552,720,584,728,616,744,584,768,552,784,528,792,496,784,456,768,424,744,496,744,528,744,552,744,592,744,552,752,528,752,496,752,1
400,736,432,712,472,712,504,720,536,712,576,720,624,736,584,776,536,792,504,800,472,792,432,776,416,744,472,736,504,736,536,736,608,744,536,760,504,760,472,760,1
392,736,424,720,464,720,496,728,528,720,576,720,624,736,576,784,528,808,496,816,456,808,424,784,408,744,464,736,496,744,528,744,608,744,528,768,496,776,464,768,1
392,736,440,712,496,696,520,704,552,696,584,712,616,736,584,792,552,808,520,816,488,816,440,792,408,736,488,728,520,728,552,728,592,736,552,768,520,768,488,768,1
400,728,440,696,480,680,512,680,544,680,584,696,624,736,584,760,536,768,512,768,480,768,440,760,416,728,480,704,512,712,536,712,608,728,536,736,512,736,480,736,0
408,712,448,704,488,696,512,704,536,696,568,704,608,712,568,744,536,760,512,760,488,760,448,744,424,720,488,720,512,720,536,720,592,720,536,720,512,728,488,720,0
400,760,440,720,480,704,504,712,536,704,576,720,616,752,584,800,544,816,512,816,480,816,440,800,424,760,480,744,512,744,536,744,600,752,536,760,512,760,480,760,0
400,720,432,704,472,696,496,696,528,696,576,704,624,720,576,768,528,792,496,800,464,792,432,768,416,728,472,728,496,728,528,728,608,728,528,744,496,744,472,744,1
416,736,448,712,480,704,504,704,528,704,560,712,600,744,568,760,528,768,504,768,480,768,448,760,432,736,480,736,504,736,528,736,592,736,528,736,504,736,480,736,0
400,728,448,696,496,688,528,688,560,688,592,696,624,728,592,768,560,792,528,800,488,792,440,768,416,728,496,712,528,712,560,712,608,728,560,752,528,760,496,752,1
392,736,432,704,472,688,504,696,536,696,576,704,616,736,576,784,536,800,504,800,472,800,432,776,416,736,472,736,504,736,536,736,600,736,536,744,504,744,472,736,0
392,728,432,704,472,696,512,704,544,696,584,704,624,728,584,760,544,784,512,784,472,784,432,760,416,728,472,728,512,736,544,736,608,736,544,736,512,744,472,736,1
384,736,424,704,456,696,488,704,520,696,568,704,624,736,576,784,520,808,488,808,456,808,424,784,408,744,456,736,488,736,520,736,600,736,520,752,488,760,456,752,1
400,744,424,712,464,704,488,704,520,704,568,720,616,744,568,800,520,824,488,824,464,824,424,800,416,744,464,728,488,736,520,728,600,744,520,784,488,784,464,776,1
400,752,448,736,488,720,520,736,552,728,584,736,616,760,584,776,552,784,520,784,488,784,448,768,424,752,488,744,520,752,552,752,600,760,552,752,520,752,488,744,0
400,752,440,720,472,704,504,704,528,696,568,720,608,752,568,776,528,792,504,792,472,792,432,776,424,752,472,744,504,744,528,744,592,752,528,744,504,752,472,744,0
392,728,440,712,480,704,512,704,544,696,584,712,624,728,584,768,544,784,512,792,480,784,432,768,408,736,480,720,512,720,544,720,608,736,544,760,512,760,480,760,1
408,720,448,720,480,712,512,720,536,712,568,720,608,720,576,768,536,784,512,792,480,784,448,768,424,728,480,744,512,744,536,744,592,728,536,744,512,744,480,744,1
416,736,440,720,472,712,496,728,520,720,560,728,608,744,568,792,528,808,496,808,472,800,440,776,432,744,472,752,496,752,520,752,592,744,520,752,496,760,472,752,0
408,760,440,752,464,744,488,752,520,744,560,760,600,768,552,792,520,808,488,808,456,808,432,784,424,768,464,768,488,776,512,768,584,768,512,768,488,776,464,768,0
408,720,448,704,480,688,504,696,528,688,568,704,616,720,568,752,528,768,504,776,480,768,448,752,432,728,480,728,504,728,528,728,592,728,528,728,504,736,480,728,0
400,736,440,704,488,696,520,696,552,696,584,704,624,744,592,792,552,808,520,816,480,808,440,792,408,744,488,720,520,720,552,720,608,744,552,768,520,768,488,768,1
408,736,432,704,472,688,496,696,520,688,568,696,608,728,568,760,528,776,496,776,472,776,440,760,432,736,472,728,496,728,520,728,592,728,520,728,496,728,472,728,0
384,728,432,704,480,688,512,696,544,688,584,704,632,728,584,776,544,800,512,808,480,800,432,776,400,728,480,712,512,720,544,712,616,728,544,760,512,768,480,760,1
408,728,448,704,480,696,512,704,536,696,576,712,608,736,576,768,544,784,512,784,480,784,440,768,424,736,480,728,512,736,536,736,592,736,536,736,512,736,480,736,0
400,736,432,712,464,696,496,704,520,704,568,712,616,736,568,784,528,800,496,800,464,792,432,776,416,736,464,736,496,744,520,736,592,736,528,744,496,752,464,744,0
408,736,448,712,488,704,512,704,536,704,576,720,616,744,576,776,544,784,512,792,488,784,448,768,424,744,488,736,512,736,536,736,600,744,536,744,512,752,488,744,0
400,712,448,712,480,704,504,712,528,704,568,712,616,720,568,744,536,752,504,752,480,752,448,736,424,720,480,720,504,720,528,720,600,720,536,720,504,728,480,720,0
384,728,424,704,464,696,496,704,528,696,584,704,632,728,584,784,528,808,496,808,456,800,424,776,408,736,464,720,496,728,528,728,616,736,528,760,496,768,464,760,1
400,736,440,712,480,696,512,704,536,696,576,712,616,736,576,776,544,792,512,792,480,792,440,776,416,744,480,728,512,728,536,728,600,736,536,752,512,752,480,752,1
408,752,440,736,472,728,504,736,536,728,568,736,608,752,568,776,536,792,504,800,472,792,440,776,424,752,472,752,504,760,536,752,592,752,536,760,504,760,472,752,0
392,760,416,736,456,728,480,736,504,720,560,736,608,760,560,800,512,816,480,824,456,824,424,800,408,768,456,760,480,760,512,760,592,760,512,768,480,768,456,768,0
416,760,448,736,480,720,504,728,528,720,560,736,600,760,560,784,528,800,504,800,472,800,448,784,432,760,480,752,504,760,528,752,584,760,528,752,504,760,480,752,0
400,736,432,720,464,712,488,720,520,712,568,720,624,736,568,760,528,776,496,784,464,776,432,760,416,736,464,744,496,744,520,744,600,736,520,736,496,744,464,736,1
408,736,448,712,488,696,512,712,536,704,576,720,608,744,576,776,536,792,512,792,480,784,440,768,424,744,488,736,512,744,536,744,592,744,536,744,512,744,488,744,0
400,768,416,728,440,720,464,728,496,720,552,736,600,760,552,800,504,824,472,824,448,824,416,800,416,768,440,760,464,768,496,760,576,768,504,768,464,768,448,768,0
400,736,448,704,488,696,520,704,544,688,584,704,624,736,584,768,552,776,520,784,488,776,440,760,424,736,488,736,520,736,544,736,600,736,544,728,520,736,488,728,1
408,728,448,712,488,696,512,704,536,696,568,712,608,728,576,760,536,776,512,776,488,776,448,752,424,728,488,728,512,728,536,728,592,736,536,736,512,736,488,736,0
400,736,432,712,464,704,496,712,528,712,568,720,616,736,576,776,528,800,496,800,464,792,424,776,416,736,464,744,496,744,528,744,600,736,528,744,496,744,464,744,1
416,736,448,720,472,712,504,720,528,712,560,720,600,744,568,768,528,776,504,776,472,776,448,768,440,744,472,736,504,736,528,736,584,744,528,744,504,744,472,744,0
408,752,440,720,480,704,512,712,536,704,576,720,616,752,576,792,536,800,512,808,480,800,440,792,424,752,480,744,512,744,536,744,592,752,536,752,512,752,480,752,0
400,744,440,720,480,712,512,720,544,712,584,728,616,744,584,784,544,808,512,816,480,808,432,792,416,744,480,736,512,744,544,736,600,752,544,768,512,776,480,768,1
408,744,448,728,480,712,512,728,536,720,568,728,608,744,568,776,536,792,512,792,480,784,448,768,424,744,480,744,512,744,536,744,592,752,536,744,512,752,480,744,0
400,744,440,720,472,712,504,720,536,712,576,720,616,744,576,776,536,792,504,800,472,792,440,776,416,744,472,752,504,752,536,744,600,744,536,752,504,752,472,752,0
384,744,424,720,472,712,512,720,544,712,592,720,632,744,592,800,552,832,512,840,472,832,424,800,400,744,472,736,512,744,544,744,616,744,552,784,512,784,472,776,1
400,736,440,728,472,720,504,728,536,720,576,728,616,744,576,768,536,784,504,792,472,784,440,768,416,744,472,744,504,752,536,744,600,744,536,744,504,752,472,744,0
408,752,440,744,472,736,504,752,536,736,576,744,608,760,576,784,536,800,504,808,472,800,440,784,424,760,472,760,504,768,536,760,600,768,536,760,504,768,472,760,0
400,728,440,696,472,680,504,688,528,680,576,704,616,736,576,776,536,784,504,784,472,776,440,768,424,728,472,720,504,720,528,720,600,736,536,736,504,744,472,736,0
400,736,440,720,480,712,512,720,544,712,584,720,616,736,584,792,544,816,512,816,472,816,432,792,416,744,480,752,512,752,544,752,600,744,544,752,512,760,472,760,0
400,744,448,720,480,712,512,720,536,712,576,720,616,744,576,768,544,784,512,784,480,784,448,768,416,744,480,744,512,744,536,744,600,744,544,744,512,752,488,744,0
408,744,448,728,488,712,512,728,544,720,576,728,616,744,584,784,544,800,512,808,480,800,440,776,424,752,480,744,512,744,544,744,600,752,544,752,520,760,488,752,1
400,760,424,736,464,720,488,728,520,720,560,736,600,752,560,792,520,808,488,808,456,808,424,792,408,768,464,760,488,760,520,752,584,760,520,760,488,768,464,760,0
392,728,440,696,488,680,528,688,560,680,600,696,632,736,600,768,560,776,528,784,488,776,432,760,408,728,488,704,528,704,560,704,616,736,560,744,528,752,488,744,1
392,728,432,704,480,696,512,696,544,696,584,704,624,728,592,776,552,792,512,800,480,792,432,768,408,728,480,720,512,728,544,720,608,728,544,760,512,760,480,760,1
416,760,464,728,504,712,528,712,552,704,584,728,608,752,584,792,552,808,528,808,504,808,464,792,440,760,504,752,528,752,552,752,584,760,552,752,528,752,504,752,0
392,728,432,712,472,704,504,704,536,704,584,712,632,728,584,784,544,808,504,816,472,808,432,784,408,736,472,728,504,728,536,728,616,736,536,768,504,776,472,768,1
400,736,440,712,480,696,512,704,536,696,576,712,608,744,576,768,536,784,504,784,472,784,440,768,424,736,480,728,504,736,536,736,592,744,536,736,512,736,480,736,0
400,744,432,720,472,696,496,712,520,704,560,720,608,744,560,768,520,776,496,776,464,776,432,760,424,744,464,736,496,736,520,736,592,744,520,736,496,744,464,736,0
408,736,416,720,448,720,472,728,504,720,568,728,632,752,576,816,512,840,480,840,448,840,424,800,424,752,448,744,472,752,504,752,616,752,512,792,480,792,448,784,1
376,720,416,696,464,688,496,696,528,688,584,696,632,720,584,776,536,792,496,800,456,792,416,768,400,720,464,720,496,720,528,720,616,720,536,752,496,760,464,752,1
408,712,440,696,472,680,496,688,520,680,552,696,608,712,560,736,520,744,496,752,472,744,440,736,432,712,472,704,496,704,520,704,584,712,520,720,496,720,472,712,0
392,728,432,704,464,696,496,704,528,696,576,704,624,728,576,768,536,792,496,792,464,792,432,768,416,728,464,720,496,720,528,720,608,728,528,752,504,752,464,752,1
416,744,440,720,472,704,496,720,512,712,560,728,608,752,568,784,520,800,496,800,472,800,440,784,432,752,472,744,496,744,520,744,592,752,520,752,496,752,472,752,0
392,728,440,696,488,688,528,696,552,688,592,704,632,736,600,776,560,792,520,792,488,792,440,768,408,728,488,720,520,720,552,720,616,736,552,752,520,760,488,752,1
392,712,432,704,472,696,504,704,536,696,576,704,632,712,584,760,544,776,504,776,472,776,432,752,408,720,472,720,504,728,536,720,608,720,536,744,504,744,472,736,1
392,744,424,720,464,712,488,720,520,704,568,720,616,744,568,792,528,816,496,816,464,808,424,792,408,752,464,752,496,752,520,752,592,752,520,752,496,760,464,752,0
424,736,464,712,496,696,520,704,536,696,568,712,600,736,576,768,544,784,520,784,496,784,464,768,448,736,496,728,520,728,536,728,584,736,544,736,520,744,496,736,0
376,728,416,696,456,688,488,696,528,688,584,696,640,728,592,792,536,824,496,824,456,816,416,792,400,728,456,720,488,720,528,720,624,728,528,776,496,776,456,776,1
416,744,448,720,480,696,504,704,528,696,568,720,608,744,568,784,536,800,512,800,480,792,448,784,440,744,480,736,504,736,528,736,584,744,528,752,504,752,480,752,0
408,760,416,728,440,712,464,720,488,712,536,728,584,760,536,800,496,816,464,816,440,808,424,792,424,760,448,752,464,752,488,752,568,760,488,752,464,760,440,752,0
400,736,440,712,480,704,512,704,536,696,576,712,616,744,576,768,536,784,512,784,480,784,440,768,424,744,480,736,512,736,536,736,600,744,536,744,512,744,480,736,0
408,736,440,704,480,696,512,704,544,696,584,712,616,744,584,776,544,792,512,792,472,792,440,776,416,736,480,712,512,720,544,720,600,736,544,760,512,768,472,760,1
400,760,440,744,480,736,520,752,544,744,576,752,608,760,576,800,544,816,512,824,480,816,440,792,424,760,480,768,512,768,544,768,592,768,544,768,520,776,480,768,0
392,736,440,720,488,712,520,720,552,712,592,720,624,736,592,784,552,808,520,816,480,808,440,784,408,744,488,744,520,744,552,744,608,744,552,760,520,760,488,760,1
424,736,456,712,480,688,504,696,528,688,560,712,608,736,568,776,536,792,504,792,480,784,448,768,440,736,480,728,504,728,528,720,584,736,528,744,504,744,480,744,0
408,752,448,736,488,728,520,744,544,736,584,744,608,752,584,784,552,792,520,792,488,792,448,776,424,760,480,752,520,760,544,760,600,760,552,760,520,760,488,760,0
408,728,448,704,480,688,512,688,536,680,576,696,616,728,576,760,536,776,512,784,480,776,448,768,424,728,480,720,512,720,536,720,600,728,536,728,512,728,480,728,0
392,712,440,696,480,688,512,688,536,688,584,696,624,712,584,760,544,776,512,776,480,776,440,752,416,720,480,720,512,720,536,720,608,720,536,728,512,728,480,728,1
408,736,432,720,464,712,488,720,512,712,568,728,616,744,568,792,520,808,488,808,456,800,432,776,424,744,464,752,488,752,512,752,600,744,512,752,488,752,464,752,0
424,760,448,720,480,704,504,704,528,704,568,720,600,752,568,784,536,800,504,808,480,800,448,784,440,752,480,736,504,736,528,736,584,752,528,752,512,752,480,752,0
400,736,440,720,480,712,512,712,536,712,576,720,616,736,576,760,536,768,512,776,480,768,440,760,416,736,480,728,512,728,536,728,600,736,536,744,512,744,480,744,0
392,728,432,720,472,712,504,720,536,712,576,720,624,736,584,784,536,808,504,808,464,808,432,784,408,736,472,736,504,736,536,736,600,736,536,768,504,776,472,768,1
416,728,456,696,496,672,520,680,544,680,576,696,608,728,576,744,544,752,520,760,488,752,456,744,440,728,496,712,520,720,544,720,592,728,544,720,520,720,496,712,0
408,760,448,744,480,736,512,744,536,736,568,744,608,760,576,776,536,792,512,792,480,792,448,776,424,760,480,752,512,760,536,752,592,760,536,760,512,760,480,760,0
408,736,448,720,480,712,504,720,528,720,568,728,608,736,568,776,536,792,504,792,480,784,448,768,424,736,480,744,504,744,528,744,592,744,528,752,504,752,480,752,0
392,728,440,720,480,712,504,720,536,712,576,720,624,728,584,760,536,776,504,784,480,776,432,760,408,736,480,744,504,744,536,744,608,736,536,736,504,744,480,736,1
400,744,432,720,464,712,496,712,528,712,576,720,616,744,576,776,528,792,496,800,464,792,432,776,424,744,464,736,496,744,528,736,600,744,528,752,496,752,464,752,0
400,736,432,712,472,704,496,712,528,704,568,720,616,736,568,768,528,784,496,784,464,784,432,768,416,736,472,736,496,744,528,744,600,736,528,744,496,744,464,736,1
408,768,456,752,504,744,536,752,560,744,584,752,600,760,584,792,560,808,528,816,496,816,456,792,424,768,504,768,528,768,560,768,584,768,560,768,536,776,504,776,0
400,736,432,712,464,704,496,704,528,696,576,712,616,736,576,776,536,792,504,800,472,792,432,776,416,744,464,736,504,736,528,736,600,736,536,744,504,744,472,744,0
416,760,456,736,504,720,528,728,552,720,584,736,608,760,584,800,560,816,528,816,496,816,456,792,432,760,504,760,528,760,552,760,592,760,552,752,528,760,504,760,0
400,736,440,720,472,712,504,720,528,712,568,720,616,736,568,768,528,784,504,784,472,784,432,760,416,736,472,744,504,744,528,744,600,736,528,744,504,752,472,744,0
400,736,432,712,472,704,504,712,536,704,576,712,616,736,576,760,544,776,512,784,472,776,440,760,416,744,472,728,504,736,536,728,600,736,536,736,504,744,472,736,0
392,728,424,704,464,696,496,704,528,696,584,704,632,728,584,776,528,800,488,800,456,800,424,776,408,728,464,720,496,720,528,720,616,728,528,760,496,760,464,760,1
400,736,432,728,472,720,504,728,536,720,576,728,616,736,576,776,536,792,504,800,472,792,432,768,416,744,472,744,504,752,536,744,600,744,536,744,504,752,472,744,0
392,744,440,728,480,720,512,720,536,712,576,728,616,744,576,784,544,800,512,808,480,808,440,784,416,744,480,744,512,752,536,744,600,744,536,760,512,760,480,760,1
384,720,432,704,480,688,520,696,552,688,592,704,632,720,592,776,552,800,520,808,480,808,432,776,400,728,480,720,520,720,552,720,608,728,552,760,520,768,480,760,1
384,744,416,712,464,704,496,704,528,704,584,712,624,744,584,800,536,824,496,824,456,816,416,792,400,752,464,728,496,736,528,728,616,744,536,784,496,784,464,776,1
400,744,432,720,464,712,496,720,528,712,568,728,616,744,576,784,528,800,496,808,464,800,432,776,416,744,464,744,496,752,528,752,600,752,528,752,496,752,464,744,0
392,720,432,704,472,704,504,704,536,704,576,712,616,728,576,768,536,784,504,792,472,784,432,760,408,728,472,728,504,728,536,728,600,728,536,752,504,752,472,744,1
400,760,408,720,432,704,456,712,480,704,528,720,584,752,536,800,488,816,464,816,440,816,416,792,416,760,440,752,456,752,480,744,560,752,480,760,456,760,440,760,0
408,760,456,744,504,728,528,736,552,728,576,736,600,760,576,792,552,808,528,816,496,808,456,792,432,768,504,760,528,760,552,760,584,760,552,760,528,768,504,760,0
416,744,456,712,496,696,528,704,552,696,592,712,616,752,592,776,560,784,528,792,496,784,456,768,432,744,496,736,528,736,552,736,600,752,560,744,528,744,496,736,0
416,752,448,712,488,696,520,704,536,688,576,712,608,744,584,784,544,800,520,808,488,800,448,784,432,752,488,736,520,736,544,736,584,744,544,752,520,752,488,752,0
400,736,440,712,472,704,504,712,536,704,576,712,616,744,576,768,536,784,504,792,472,784,440,768,416,744,472,728,504,728,536,728,600,744,536,744,504,752,472,744,0
392,744,440,720,480,712,512,720,544,712,584,720,624,744,584,784,544,800,512,800,480,800,440,776,408,744,480,736,512,736,544,736,608,744,544,760,512,760,480,752,1
408,752,448,736,480,728,512,736,536,728,568,736,608,752,576,784,544,800,512,800,480,800,448,776,424,752,480,752,512,760,536,752,592,752,536,760,512,760,480,760,0
400,736,432,720,472,712,504,720,528,712,576,720,624,744,576,776,536,792,504,792,472,792,432,776,416,744,472,744,504,752,528,744,608,744,528,744,504,744,472,744,1
400,744,440,720,480,704,512,712,544,704,584,712,624,744,592,792,552,816,520,816,480,816,440,792,416,752,480,736,512,736,544,736,608,752,544,768,520,776,480,768,1
392,736,424,720,456,720,488,728,520,720,568,728,624,736,576,784,528,808,488,808,456,800,424,776,408,736,456,744,488,744,520,744,608,744,520,768,488,768,456,760,1
400,728,432,712,464,704,496,704,528,704,576,712,624,728,576,784,536,808,496,816,464,808,432,784,416,736,464,728,496,728,528,728,608,736,528,768,496,768,464,760,1
400,736,440,720,480,712,504,712,536,704,568,720,616,736,576,768,536,784,504,792,480,784,440,768,416,744,480,744,504,744,536,744,600,736,536,744,504,744,480,744,0
400,736,448,720,496,712,528,720,552,712,584,720,616,744,584,768,552,792,520,792,496,792,448,768,424,744,496,744,520,744,552,744,600,744,552,744,528,752,496,744,0
384,728,416,696,464,680,496,688,528,688,584,696,632,728,584,784,536,808,496,808,464,808,416,784,400,736,464,712,496,720,528,720,608,736,536,760,496,768,464,760,1
392,744,424,712,456,696,488,704,520,696,568,712,616,736,568,776,520,792,488,792,456,792,424,776,416,744,456,736,488,736,520,736,600,744,520,744,488,752,456,744,0
384,720,424,704,472,696,504,704,536,696,584,704,632,728,592,784,544,816,504,824,464,816,424,784,400,720,472,720,504,720,536,720,616,728,544,768,504,776,472,768,1
408,736,456,720,496,712,520,720,544,712,576,720,608,736,576,768,544,776,520,776,488,776,448,760,432,744,488,736,520,744,544,736,592,744,544,736,520,744,488,736,0
400,760,432,736,464,720,496,728,520,720,560,736,608,760,568,792,528,808,496,816,472,808,432,792,416,768,472,760,496,760,520,760,592,760,528,760,496,768,472,760,0
392,744,440,712,488,696,528,704,560,696,600,712,624,744,600,784,560,808,528,808,488,808,440,784,408,744,488,720,528,728,560,720,608,744,560,768,528,776,488,768,1
408,752,440,728,480,720,504,728,536,720,576,728,608,752,576,776,544,800,512,800,480,800,440,776,424,752,480,752,512,760,536,752,592,752,536,752,512,760,480,752,0
408,744,440,728,472,720,504,728,528,720,568,728,608,744,568,776,536,792,504,792,472,792,440,776,424,752,472,752,504,760,528,752,592,752,528,752,504,752,472,752,0
416,752,456,712,488,696,512,696,536,696,568,712,600,752,568,784,536,792,512,792,488,792,456,776,440,752,488,736,512,736,536,736,584,752,536,744,512,744,488,744,0
384,728,432,688,472,672,504,680,536,672,584,688,632,728,584,768,536,784,504,784,472,784,424,768,400,728,472,704,504,704,536,704,616,728,536,752,504,752,472,752,1
408,760,440,736,464,728,488,736,512,728,560,736,600,760,560,792,520,808,488,808,464,808,440,784,432,760,464,760,488,768,512,760,584,760,512,760,488,768,464,760,0
408,744,432,720,464,712,496,720,528,712,576,720,616,744,576,784,536,800,496,800,464,800,432,784,424,744,464,736,496,744,528,736,600,744,536,760,496,768,464,760,0
392,720,440,704,480,696,512,704,544,696,584,704,624,720,584,752,544,776,512,776,480,768,440,752,408,720,480,728,512,728,544,728,608,720,544,728,512,736,480,728,1
